2023-06-13 17:29:38,127 | INFO | Requête 0 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'KMD & BRUZZ - Feed The Soul [Acidcore]'),(SELECT tags_id FROM tags WHERE tag_name = 'teuf')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,127 | INFO | 
2023-06-13 17:29:38,128 | INFO | Requête 0 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'KMD & BRUZZ - Feed The Soul [Acidcore]'),(SELECT tags_id FROM tags WHERE tag_name = 'bruzz')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,129 | INFO | 
2023-06-13 17:29:38,130 | INFO | Requête 0 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'KMD & BRUZZ - Feed The Soul [Acidcore]'),(SELECT tags_id FROM tags WHERE tag_name = 'kmd')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,130 | INFO | 
2023-06-13 17:29:38,133 | INFO | Requête 0 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'KMD & BRUZZ - Feed The Soul [Acidcore]'),(SELECT tags_id FROM tags WHERE tag_name = 'feed')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,134 | INFO | 
2023-06-13 17:29:38,135 | INFO | Requête 0 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'KMD & BRUZZ - Feed The Soul [Acidcore]'),(SELECT tags_id FROM tags WHERE tag_name = 'the')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,135 | INFO | 
2023-06-13 17:29:38,136 | INFO | Requête 0 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'KMD & BRUZZ - Feed The Soul [Acidcore]'),(SELECT tags_id FROM tags WHERE tag_name = 'soul')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,136 | INFO | 
2023-06-13 17:29:38,138 | INFO | Requête 0 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'KMD & BRUZZ - Feed The Soul [Acidcore]'),(SELECT tags_id FROM tags WHERE tag_name = 'acidcore')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,138 | INFO | 
2023-06-13 17:29:38,139 | INFO | Requête 0 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'KMD & BRUZZ - Feed The Soul [Acidcore]'),(SELECT tags_id FROM tags WHERE tag_name = 'acid')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,139 | INFO | 
2023-06-13 17:29:38,140 | INFO | Requête 0 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'KMD & BRUZZ - Feed The Soul [Acidcore]'),(SELECT tags_id FROM tags WHERE tag_name = 'punk')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,140 | INFO | 
2023-06-13 17:29:38,144 | INFO | Commit
2023-06-13 17:29:38,144 | DEBUG | nb objets en RAM : (481, 3, 8)
2023-06-13 17:29:38,144 | INFO | 
2023-06-13 17:29:38,148 | INFO | Requête 1 artiste : INSERT INTO public.artists(artist_name,num_sub) VALUES ('zeno','49') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,148 | INFO | 
2023-06-13 17:29:38,149 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('tekno') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,150 | INFO | 
2023-06-13 17:29:38,150 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('hardmusic') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,154 | INFO | 
2023-06-13 17:29:38,155 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('hardtechno') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,156 | INFO | 
2023-06-13 17:29:38,156 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('techno') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,157 | INFO | 
2023-06-13 17:29:38,157 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('hardtechnomusic') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,158 | INFO | 
2023-06-13 17:29:38,158 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('hardtek') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,160 | INFO | 
2023-06-13 17:29:38,160 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('freeparty') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,164 | INFO | 
2023-06-13 17:29:38,164 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('warhouse') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,165 | INFO | 
2023-06-13 17:29:38,165 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('hardtekk') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,168 | INFO | 
2023-06-13 17:29:38,168 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('son2teuf') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,169 | INFO | 
2023-06-13 17:29:38,169 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('teknival') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,170 | INFO | 
2023-06-13 17:29:38,170 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('freetekno') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,180 | INFO | 
2023-06-13 17:29:38,180 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('tekno') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,182 | INFO | 
2023-06-13 17:29:38,182 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('acid') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,184 | INFO | 
2023-06-13 17:29:38,184 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('tribecore') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,185 | INFO | 
2023-06-13 17:29:38,185 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('tribe') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,186 | INFO | 
2023-06-13 17:29:38,186 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('tribal') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,187 | INFO | 
2023-06-13 17:29:38,187 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('teknik') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,188 | INFO | 
2023-06-13 17:29:38,188 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('rave') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,188 | INFO | 
2023-06-13 17:29:38,188 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('acidhouse') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,189 | INFO | 
2023-06-13 17:29:38,189 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('electronicmusic') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,190 | INFO | 
2023-06-13 17:29:38,190 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('electronic') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,195 | INFO | 
2023-06-13 17:29:38,195 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('acidtechno') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,195 | INFO | 
2023-06-13 17:29:38,195 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('acidcore') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,196 | INFO | 
2023-06-13 17:29:38,196 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('hardmusicboosted') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,197 | INFO | 
2023-06-13 17:29:38,197 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('hybrid') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,198 | INFO | 
